State,City,Station,Format,City Match,State Match,FCC URL
Alabama,Birmingham,WAGG/WENN,Heaven 610 WAGG,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WAGG/rss
Alabama,Birmingham,WATV,V-94.9,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WATV/rss
Alabama,Birmingham,WJLD,AM 1400 WJLD,No,Yes,https://publicfiles.fcc.gov/am-profile/WJLD/rss
Alabama,Birmingham,WBHJ,95.7 Jamz,No,Yes,https://publicfiles.fcc.gov/fm-profile/WBHJ/rss
Alabama,Birmingham,WBHK,98.7 Kiss FM,No,Yes,https://publicfiles.fcc.gov/fm-profile/WBHK/rss
Alabama,Birmingham,WMJJ-HD2,104.1 The Beat,Yes,Yes,https://publicfiles.fcc.gov/fm-profile/WMJJ/rss
Alabama,Birmingham,WUHT,Hot 107.7,Yes,Yes,https://publicfiles.fcc.gov/fm-profile/WUHT/rss
Alabama,Birmingham,WERC-HD2 ,Hallelujah 105.1,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WERC/rss
Alabama,Birmingham,WERC-HD3 ,B106.5,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WERC/rss
Alabama,Birmingham,WDXB-HD2/W224CK - Birmingham's BIN 92.7 - Black-oriented news,Unknown Format,No,No,
Alabama,Mobile,WGOK,Gospel 900,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WGOK/rss
Alabama,Mobile,WBLX-FM,93BLX,Yes,Yes,https://publicfiles.fcc.gov/fm-profile/WBLX-FM/rss
Alabama,Mobile,WDLT-FM,104.1 WDLT,No,Yes,https://publicfiles.fcc.gov/fm-profile/WDLT-FM/rss
Alabama,Mobile,WRGV - 107.3 The Beat - Mainstream urban,Unknown Format,No,No,https://publicfiles.fcc.gov/fm-profile/WRGV/rss
Alabama,Mobile,WMXC-HD2 - 100.3 Hallelujah FM - Urban Gospel,Unknown Format,Yes,Yes,https://publicfiles.fcc.gov/fm-profile/WMXC/rss
Alabama,Mobile,WZEW HD-3 - 92.5 The Soul Of Mobile - Urban Oldies,Unknown Format,No,No,
Alabama,Mobile,WASG - AM 540 - Urban gospel,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WASG/rss
Alabama,Mobile,WERM - Gospel 1220 - Urban gospel,Unknown Format,No,Yes,https://publicfiles.fcc.gov/am-profile/WERM/rss
Alabama,Huntsville,WDJL,Gospel Explosions 1000 AM,Yes,Yes,https://publicfiles.fcc.gov/am-profile/WDJL/rss
